Capacidad Útil Energía [GWh],Volumen Útil Energía [GWh],Fecha,Cero
17358.655982999997,8790.007700000002,2024-10-04 00:00:00,0
17358.655982999997,8822.078800000001,2024-10-05 00:00:00,0
17358.655982999997,8847.5121,2024-10-06 00:00:00,0
17358.655982999997,8885.183799999999,2024-10-07 00:00:00,0
17358.655982999997,8944.3732,2024-10-08 00:00:00,0
17358.655982999997,9023.3675,2024-10-09 00:00:00,0
17358.655982999997,9139.0645,2024-10-10 00:00:00,0
17358.655982999997,9163.386,2024-10-11 00:00:00,0
17358.655982999997,9160.838300000001,2024-10-12 00:00:00,0
17358.655982999997,9219.638700000001,2024-10-13 00:00:00,0
17358.655982999997,9229.259000000002,2024-10-14 00:00:00,0
17358.655982999997,9225.160499999998,2024-10-15 00:00:00,0
17358.655982999997,9227.530700000001,2024-10-16 00:00:00,0
17358.655982999997,9236.921,2024-10-17 00:00:00,0
17358.655982999997,9227.3748,2024-10-18 00:00:00,0
17358.655982999997,9265.9539,2024-10-19 00:00:00,0
17358.655982999997,9311.398799999999,2024-10-20 00:00:00,0
17358.655982999997,9324.8267,2024-10-21 00:00:00,0
17358.655982999997,9376.6357,2024-10-22 00:00:00,0
17358.655982999997,9423.297900000001,2024-10-23 00:00:00,0
17358.655982999997,9485.4177,2024-10-24 00:00:00,0
17358.655982999997,9510.726900000001,2024-10-25 00:00:00,0
17358.655982999997,9522.4008,2024-10-26 00:00:00,0
17358.655982999997,9563.498500000002,2024-10-27 00:00:00,0
17358.655982999997,9582.1085,2024-10-28 00:00:00,0
17358.655982999997,9581.042800000001,2024-10-29 00:00:00,0
17358.655982999997,9588.046400000001,2024-10-30 00:00:00,0
17358.655982999997,9598.1705,2024-10-31 00:00:00,0
17358.655982999997,9606.6515,2024-11-01 00:00:00,0
17167.219598999996,9628.528999999999,2024-11-02 00:00:00,0
17167.219598999996,9662.201000000001,2024-11-03 00:00:00,0
17167.219598999996,9745.2598,2024-11-04 00:00:00,0
17167.219598999996,9786.9531,2024-11-05 00:00:00,0
